Metric,Value
Gross revenue (€),65347.020437499996
Convex deg cost (€),3954.0279770421
Linear bitepy deg cost (€),3209.5
Net profit — convex (€),61392.9924604579
Net profit — linear (€),62137.520437499996
Total discharge volume (MWh),802.375
Number of trades,336.0
